"Run","Graph","Vertices","Edges","Density","Total Time","Order",
26,26.txt,131,1116,0.13106283029947152,3485 ms,LowerBound[341 ms][chrom: 10],UpperBound[0 ms][chrom: 22],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[2674 ms][chrom: 12],DSatur[161 ms][chrom: 11],OrderedGreedy[3 ms][chrom: 11],LowerBoundGreedy[306 ms][chrom: 12],
27,27.txt,212,252,0.011267101851023876,3070 ms,LowerBound[790 ms][chrom: 3],UpperBound[0 ms][chrom: 8],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[9 ms][is: false],Greedy[957 ms][chrom: 3],DSatur[431 ms][chrom: 3],OrderedGreedy[4 ms][chrom: 3],LowerBoundGreedy[879 ms][chrom: 3],
28,28.txt,107,516,0.09098924351966144,1559 ms,LowerBound[228 ms][chrom: 4],UpperBound[0 ms][chrom: 17],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[1003 ms][chrom: 6],DSatur[104 ms][chrom: 7],OrderedGreedy[2 ms][chrom: 7],LowerBoundGreedy[222 ms][chrom: 7],
29,29.txt,43,529,0.5858250276854928,535 ms,LowerBound[45 ms][chrom: 8],UpperBound[0 ms][chrom: 30],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[1 ms][is: false],Greedy[429 ms][chrom: 12],DSatur[20 ms][chrom: 12],OrderedGreedy[0 ms][chrom: 12],LowerBoundGreedy[40 ms][chrom: 12],
30,30.txt,387,2502,0.03349801180865165,26779 ms,LowerBound[2838 ms][chrom: 8],UpperBound[1 ms][chrom: 382],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[19565 ms][chrom: 9],DSatur[1426 ms][chrom: 9],OrderedGreedy[9 ms][chrom: 9],LowerBoundGreedy[2939 ms][chrom: 9],
31,31.txt,85,1060,0.2969187675070028,2063 ms,LowerBound[144 ms][chrom: 9],UpperBound[0 ms][chrom: 32],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[1 ms][is: false],Greedy[1702 ms][chrom: 12],DSatur[73 ms][chrom: 14],OrderedGreedy[3 ms][chrom: 14],LowerBoundGreedy[140 ms][chrom: 15],
32,32.txt,164,323,0.024165793805177315,2132 ms,LowerBound[488 ms][chrom: 2],UpperBound[0 ms][chrom: 9],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[1 ms][is: false],Greedy[917 ms][chrom: 4],DSatur[236 ms][chrom: 4],OrderedGreedy[3 ms][chrom: 4],LowerBoundGreedy[487 ms][chrom: 4],
33,33.txt,143,498,0.049049542007288484,2168 ms,LowerBound[364 ms][chrom: 11],UpperBound[0 ms][chrom: 71],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[1250 ms][chrom: 11],DSatur[183 ms][chrom: 11],OrderedGreedy[3 ms][chrom: 11],LowerBoundGreedy[368 ms][chrom: 11],
34,34.txt,456,1028,0.009909388856757278,17640 ms,LowerBound[3702 ms][chrom: 3],UpperBound[0 ms][chrom: 11],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[2 ms][is: false],Greedy[8343 ms][chrom: 5],DSatur[1883 ms][chrom: 5],OrderedGreedy[8 ms][chrom: 5],LowerBoundGreedy[3701 ms][chrom: 5],
36,36.txt,107,4955,0.873743607829307,13703 ms,LowerBound[638 ms][chrom: 98],UpperBound[6 ms][chrom: 100],Cycle[7 ms][is: false],Tree[1 ms][is: false],Bipartite[2 ms][is: false],Greedy[12427 ms][chrom: 98],DSatur[198 ms][chrom: 98],OrderedGreedy[15 ms][chrom: 98],LowerBoundGreedy[409 ms][chrom: 98],
37,37.txt,164,889,0.06651204548855305,3816 ms,LowerBound[491 ms][chrom: 15],UpperBound[0 ms][chrom: 27],Cycle[1 ms][is: false],Tree[0 ms][is: false],Bipartite[0 ms][is: false],Greedy[2565 ms][chrom: 15],DSatur[260 ms][chrom: 15],OrderedGreedy[3 ms][chrom: 15],LowerBoundGreedy[496 ms][chrom: 15],
38,38.txt,907,1808,0.004400407913919454,77510 ms,LowerBound[16662 ms][chrom: 3],UpperBound[2 ms][chrom: 5],Cycle[2 ms][is: false],Tree[1 ms][is: false],Bipartite[0 ms][is: false],Greedy[34672 ms][chrom: 4],DSatur[8722 ms][chrom: 5],OrderedGreedy[21 ms][chrom: 5],LowerBoundGreedy[17428 ms][chrom: 5],
39,39.txt,106,196,0.03522012578616352,1032 ms,LowerBound[236 ms][chrom: 8],UpperBound[0 ms][chrom: 13],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[2 ms][is: false],Greedy[432 ms][chrom: 8],DSatur[120 ms][chrom: 8],OrderedGreedy[2 ms][chrom: 8],LowerBoundGreedy[240 ms][chrom: 8],
40,40.txt,166,197,0.01438481197517342,2160 ms,LowerBound[578 ms][chrom: 2],UpperBound[0 ms][chrom: 7],Cycle[0 ms][is: false],Tree[0 ms][is: false],Bipartite[3 ms][is: false],Greedy[692 ms][chrom: 3],DSatur[290 ms][chrom: 3],OrderedGreedy[3 ms][chrom: 3],LowerBoundGreedy[594 ms][chrom: 4],
41,1.txt,76,303,0.10631578947368421,605 ms,LowerBound[585 ms][chrom: 11],UpperBound[1 ms][chrom: 53],ColoringDecision[19 ms][chrom: 11],
43,3.txt,18,46,0.3006535947712418,125 ms,LowerBound[41 ms][chrom: 3],UpperBound[0 ms][chrom: 7],ColoringDecision[84 ms][chrom: 5],
44,4.txt,11,16,0.2909090909090909,4 ms,LowerBound[3 ms][chrom: 2],UpperBound[0 ms][chrom: 4],ColoringDecision[1 ms][chrom: 3],
45,5.txt,93,92,0.021505376344086023,1114 ms,LowerBound[541 ms][chrom: 2],UpperBound[0 ms][chrom: 4],ColoringDecision[573 ms][chrom: 3],
48,22.txt,529,271,0.0019404823280059576,5802 ms,LowerBound[5767 ms][chrom: 2],UpperBound[4 ms][chrom: 2],ColoringDecision[31 ms][chrom: 3],
